name,ortholog_ensg,description,stat,baseMean,LFC_raw,LFC_shrunk,pvalue,padj,mmusculus_genes
VPS26A,ENSG00000122958,VPS26 retromer complex component A [Source:HGNC Symbol;Acc:HGNC:12711],-0.1549184709452276,2225.8513132950206,-0.015353423346908,-9.327150909759704e-07,0.8768855917378702,0.9999825715135549,ENSMUSG00000020078
RBM19,ENSG00000122965,RNA binding motif protein 19 [Source:HGNC Symbol;Acc:HGNC:29098],-0.6415700374019139,468.6246501543096,-0.1122646488692697,-3.839926598203671e-06,0.5211523926297648,0.9999825715135549,ENSMUSG00000029594
CIT,ENSG00000122966,citron rho-interacting serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1985],-1.173655699192062,216.66977219932232,-0.151890785795757,6.70474929532996e-06,0.2405329614392692,0.9999825715135549,ENSMUSG00000029516
IFT81,ENSG00000122970,intraflagellar transport 81 [Source:HGNC Symbol;Acc:HGNC:14313],0.6865056585547801,500.4767702590223,0.1275763718020244,3.461175719111274e-06,0.4923942972874742,0.9999825715135549,ENSMUSG00000029469
ACADS,ENSG00000122971,acyl-CoA dehydrogenase short chain [Source:HGNC Symbol;Acc:HGNC:90],0.8963728870500379,373.0640731624632,0.0886884190942701,9.453993694092636e-06,0.3700536429366302,0.9999825715135549,ENSMUSG00000029545
HVCN1,ENSG00000122986,hydrogen voltage gated channel 1 [Source:HGNC Symbol;Acc:HGNC:28240],-0.8059819324366287,939.5780088957714,-0.1713751740610891,-3.2987614914445054e-06,0.4202532669032379,0.9999825715135549,ENSMUSG00000064267
DDX54,ENSG00000123064,DEAD-box helicase 54 [Source:HGNC Symbol;Acc:HGNC:20084],-0.2342448169481843,1819.7290557541755,-0.0287855991007806,-2.5617937660934407e-06,0.8147949238017146,0.9999825715135549,ENSMUSG00000029599
MED13L,ENSG00000123066,mediator complex subunit 13L [Source:HGNC Symbol;Acc:HGNC:22962],-0.9220110624195352,3522.714520448796,-0.1042411738234433,-8.072662195416689e-06,0.3565228054143758,0.9999825715135549,ENSMUSG00000018076
CDKN2C,ENSG00000123080,cyclin dependent kinase inhibitor 2C [Source:HGNC Symbol;Acc:HGNC:1789],0.1722749290994265,216.7215203052121,0.0431110418953942,5.418026419306744e-07,0.8632213933450434,0.9999825715135549,ENSMUSG00000028551
RNF11,ENSG00000123091,ring finger protein 11 [Source:HGNC Symbol;Acc:HGNC:10056],0.7253593751846054,3051.585787884915,0.0504824732379572,1.55986108730977e-05,0.4682315888312993,0.9999825715135549,ENSMUSG00000028557
RASSF8,ENSG00000123094,Ras association domain family member 8 [Source:HGNC Symbol;Acc:HGNC:13232],-0.8551744993578917,1219.249141780119,-0.0914248292717765,-7.700192831072483e-06,0.3924545512396237,0.9999825715135549,ENSMUSG00000030259
BHLHE41,ENSG00000123095,basic helix-loop-helix family member e41 [Source:HGNC Symbol;Acc:HGNC:16617],-0.3027108183668923,295.7161451562966,-0.0485686676293577,-1.954420563743898e-06,0.762110252527689,0.9999825715135549,ENSMUSG00000030256
SSPN,ENSG00000123096,sarcospan [Source:HGNC Symbol;Acc:HGNC:11322],0.3708893096727302,474.9582794875379,0.0949232631163095,1.3770654946293284e-06,0.7107199778423898,0.9999825715135549,ENSMUSG00000030255
ITPR2,ENSG00000123104,"inositol 1,4,5-trisphosphate receptor type 2 [Source:HGNC Symbol;Acc:HGNC:6181]",-1.2928690292433611,1390.7035890084812,-0.163400140236082,-1.0365362429432416e-05,0.1960563607240123,0.9999825715135549,ENSMUSG00000030287
CCDC91,ENSG00000123106,coiled-coil domain containing 91 [Source:HGNC Symbol;Acc:HGNC:24855],0.3806613159650664,634.3291722503643,0.0507789317838754,2.9953660518561702e-06,0.703454576892047,0.9999825715135549,ENSMUSG00000030301
