gene_id,baseMean,LFC_shrunk,lfcSE,stat,pvalue,padj,LFC_raw
FBgn0026324,337.749777155518,0.0078976204788473,0.0600388469868973,0.2381073262861926,0.8117978525816696,0.9212015815885036,0.0142956893293559
FBgn0011703,89.49800077988908,-0.021981562787782,0.1313906986786301,-0.7918569945987571,0.4284440651721104,0.689478727165538,-0.1040426437738909
FBgn0265001,1.4795867631176636,-0.0020379104264324,0.8515201183455869,-0.4194586332672398,0.6748809807611202,,-0.3571774650407982
FBgn0031287,211.1863355786196,-0.0220216219059986,0.0720495010403403,-0.6451384853244071,0.518837445777629,0.752742339723088,-0.0464819059695444
FBgn0026394,0.413036998666621,-0.0005423585021526,1.4045355095852037,-0.2221009257851542,0.8242353171857477,,-0.311948636976997
FBgn0032435,1.8029247674244069,-0.0096563466676177,0.7292240926378308,-1.5691712409432,0.1166080434418191,,-1.144277474370184
FBgn0031637,3726.755884318038,-0.0357806643143518,0.0345693478627758,-1.2346743407861027,0.2169517291864552,0.4858025738877337,-0.0426818867838782
FBgn0264815,2694.298714174153,0.067451906876703,0.0411033104765124,2.0561136985129584,0.039771558154818,0.1732841767581275,0.0845130797249883
FBgn0003751,24.01179118433695,0.0832930604739101,0.1801999576319191,2.343684908745611,0.0190942948074553,0.1057654293223983,0.4223319212585272
FBgn0261991,0.8920829321326609,0.0051075694418616,1.2360338107291338,1.334490173683048,0.1820432650966909,,1.6494749747580415
FBgn0265945,0.3114757507395865,-0.0023763913543616,1.798458150623428,-0.7272522680265934,0.4670714324973479,,-1.3079327689918008
FBgn0032150,61.20009570991896,0.0060633458410723,0.1360166199531685,0.2284308313901073,0.8193113229963039,0.9247397902951404,0.0310703895787745
FBgn0042129,2789.444502561878,0.0247810679715681,0.0887928106709824,0.7449310888775813,0.4563133797995619,0.709027767051082,0.0661445251376358
FBgn0265151,1.3133687680998247,0.0051998527743006,0.831835807604577,0.951832450525437,0.3411819618078653,,0.7917683151870705
FBgn0032394,1375.0928975939732,-0.0836350635324891,0.0639163834367472,-1.9876837783853472,0.0468466740931367,0.1938964079090624,-0.1270455585302804
FBgn0011305,1268.9607184861852,0.0618604788046649,0.0354632132785408,2.088469459329088,0.0367555075557303,0.1645857358468678,0.0740638378619064
FBgn0024191,171.10733054369143,0.037844810230963,0.0798716163244742,1.0623052751944162,0.2880971203804348,0.5667929979884787,0.0848480393597933
FBgn0003930,10.0197008610951,0.0096954617435306,0.2866193860623991,0.649947937364807,0.5157258517650228,,0.1862876787800236
FBgn0032391,98.03744051389214,0.0012892651767858,0.1151755603325387,0.044580485997544,0.9644416971115372,0.9851080858088872,0.005134582454664
FBgn0031519,6.955628779869372,-0.0033525256938549,0.3517238991956586,-0.2736065089350489,0.7843870314092845,,-0.0962339481679472
FBgn0002989,101.52178290540232,-0.0277634579146522,0.1062527232926018,-0.8734191630015407,0.3824346497280022,0.654593120314323,-0.0928031646448586
FBgn0031859,1.9521314317775047,0.0066341117511037,0.8294222372107851,1.2279874753486564,0.2194516696732619,,1.0185201190705062
FBgn0031678,36.657194115659166,0.0482784822700221,0.1726395797523777,1.768346563988791,0.0770029839487644,0.2623921904525824,0.305286607663586
FBgn0032331,3.0553233350997258,-0.0189666320397955,0.5864351745720998,-2.3723098755950347,0.0176772582245865,,-1.391205956033691
FBgn0265671,0.2996070977423133,0.0002624920502028,1.7923749277923786,-0.1454743967915346,0.8843363290955533,,-0.2607446614448667
FBgn0040299,363.29527824167633,-0.1155137583937148,0.070121535844554,-2.3784285814301733,0.0173866045921856,0.0990835859334249,-0.1667790650264677
FBgn0031745,189.7489926897972,-0.0139044153865744,0.0810221416356288,-0.4221894666821439,0.6728867292572138,0.8504989121503153,-0.0342066947665912
FBgn0052985,1.4507543440345674,0.0026195590624789,0.7807834739878735,0.4505357833793565,0.6523241584543965,,0.351770894102782
FBgn0032846,221.46446224532968,-0.0154063429747745,0.0756656919209876,-0.4599471490982478,0.645554156312835,0.8354721319512287,-0.0348022192836045
FBgn0032878,0.9065542366802432,-0.0037195813802623,1.0029051635696715,-0.8478499416128098,0.39652154575742,,-0.8503130843757316
FBgn0031424,3890.017333310153,0.1147610264963149,0.0417078665681625,3.185560277801064,0.0014447400339564,0.0172946409951149,0.1328629230113656
FBgn0032520,1.0628233886244622,0.001750436934335,1.313987761687154,0.5215453640980621,0.6019869125424431,,0.6853042255895244
FBgn0031292,9.099392790753404,0.0080166953606208,0.3586372043127097,0.6571646890829649,0.5110750276726468,,0.2356837068657456
FBgn0029174,1761.579875496721,0.0007273291558486,0.0306082854458228,0.0270809251391064,0.9783951887150238,0.9905694535821912,0.0008289006867947
FBgn0003475,4490.991408657153,0.0112883954519424,0.0580961178911667,0.3415682950066698,0.7326758005324456,0.883448121895026,0.0198437919345923
FBgn0032024,1.8886138543215456,-0.0008619243098071,0.6997218448261069,-0.1386995566001806,0.8896875684951426,,-0.0970511096208414
FBgn0032014,162.5185378913351,-0.0265122866361011,0.1156231532638023,-0.8719519258452328,0.3832346043648061,0.6551779843667543,-0.100817831160671
FBgn0031251,248.95438364010369,0.0178240774820158,0.0998978306307141,0.5660706756879996,0.5713457367558548,0.7874987100196384,0.0565492324848937
FBgn0031388,1.2220868060491852,0.002006907271794,0.8897065206065918,0.3942413052952435,0.6934028927754914,,0.3507590600136322
FBgn0032483,3.8968149138799855,0.0013915292886299,0.5594031443327314,0.1738487682003362,0.8619843164336448,,0.0972515475696402
FBgn0001978,899.604684276602,0.0327059984601965,0.0519689350197888,0.9682394577665208,0.3329247930246041,0.6089019240844733,0.0503183734642639
FBgn0031844,1.4249473436046969,0.0019933895265528,0.7672640069876222,0.3526468656781641,0.7243531982053409,,0.270573247211854
FBgn0021856,458.7606825795365,0.0401687766036332,0.0558674184450839,1.1473992695537296,0.2512166429585387,0.5250517891126782,0.0641022351157418
FBgn0031520,347.56306769937294,0.0029274079407001,0.0641558936822129,0.0873354974626753,0.9304048389114086,0.9736674249478788,0.0056030868898985
FBgn0265147,0.1816272102010417,-0.0011735987221447,2.569048010550413,-0.5136714906839754,0.6074816874842206,,-1.3196467212181324
FBgn0265585,1.3987280342003416,0.0069006988968932,0.7947025064017917,1.1560597058845723,0.2476567361500556,,0.9187235458165878
FBgn0053928,6.875211579256267,0.0012996048617263,0.3841562180660693,0.1147966954489043,0.9086062683909458,,0.0440998643701334
FBgn0028987,5.355071741067122,-0.0077301201543704,0.3871221879653979,-0.6984548201799544,0.4848928030752053,,-0.2703873581830425
FBgn0032202,1006.7873042870698,0.0410810130990522,0.0581974414245167,1.1677636779490514,0.2429021030498326,0.5163475461603069,0.0679608582451182
FBgn0001125,11773.31734064571,-0.4741004539966487,0.093384262146864,-5.463563747146268,4.6666957649961686e-08,6.351375052978433e-06,-0.51021086921961
FBgn0051760,1460.5152016539432,0.0890383143513082,0.0478797638567401,2.367548894090147,0.0179063538483452,0.1007345639765254,0.1133576819683225
FBgn0031975,962.1479565064612,0.0747697949702691,0.070455015974893,1.791599919690692,0.0731970760140138,0.2540951566938086,0.1262272009624247
FBgn0026392,2.584060746493545,0.0086576196059564,0.5519248843441468,1.073894125370185,0.2828701366104291,,0.5927088909427979
FBgn0032187,132.25293187340446,-0.0166799949507936,0.1031877892267224,-0.5414892052230508,0.5881704361081621,0.799023988675239,-0.0558750739771016
FBgn0265264,0.977465101182325,-0.0039736273243326,1.2060082338581743,-1.0186363650923866,0.3083756333342399,,-1.2284838436087795
FBgn0264950,19.333751101356107,0.0011410280615957,0.1993158328087486,0.0569825463698361,0.9545590985273292,0.982455083778166,0.011357523685267
FBgn0266322,55.60985435316884,0.0388621047327302,0.131384970708082,1.2764545081308691,0.2017948982714628,0.4661375286034793,0.1677069381609735
FBgn0086856,189.38475072200524,0.0343619871527743,0.0808449226415399,0.97954238198868,0.3273120582432816,0.6028227970001402,0.0791910280959845
FBgn0287617,4.793821099088401,0.0092016289715126,0.4806373750288004,1.0161085741752105,0.3095776864826138,,0.4883797578358302
FBgn0051820,1.2468578499494505,0.003481029975422,1.113174765929251,0.9427296588876016,0.3458191988994283,,1.0494228673667685
FBgn0263585,0.6826274065549202,0.0035783454507252,1.2556983707806122,0.8724681390013024,0.3829530422027074,,1.0955568207019282
FBgn0266892,0.4598654316251218,-0.0010220411259121,1.4210464045399196,-0.2221844616890001,0.8241702896059485,,-0.3157344304277912
FBgn0031879,889.8619198863922,-0.0863568196340196,0.0704000864818777,-1.972935263711736,0.0485029383264757,0.1992682293806932,-0.1388948131884525
FBgn0265002,531.472011032329,0.0377454829330625,0.0559191689418723,1.084295395662816,0.2782338461361472,0.5563504943730022,0.0606328974129633
FBgn0031458,287.22421977818453,-0.0457282349975523,0.0674298186941891,-1.2421521613833992,0.214180426243716,0.4821227408563,-0.0837580950326777
FBgn0004394,76.36392544469331,-0.0012493782761825,0.1028359031717897,-0.0421364453174674,0.9663899267971768,0.9859990939643892,-0.0043331394106704
FBgn0052831,182.96320533625365,-0.0207220472459855,0.1023147787104113,-0.6617167534615891,0.5081527656939213,0.7473933954550918,-0.0677034031993943
FBgn0085209,155.6750423173176,0.1404612098387161,0.0932489886181791,2.425290947864468,0.0152961225176891,0.0918317901361927,0.2261559279931865
FBgn0031696,581.6697446392407,0.0248707326732821,0.0505217773148848,0.7542031521448174,0.4507272451433094,0.705486122833006,0.0381036837028446
FBgn0265679,0.324068378042209,-0.0003953275162635,1.6054742587402455,-0.160454718298533,0.8725228889570706,,-0.2576059199217121
FBgn0051912,0.2634606182129551,0.0016100156929509,1.6130343279019348,0.2405146459463081,0.8099313106210473,,0.387958380274575
FBgn0032168,185.01113577509057,-0.0549562671094264,0.0680552673279018,-1.4377070984595413,0.1505171781670476,0.3942360426840652,-0.0978435409248861
FBgn0004419,1997.1346726782413,0.0433920319267344,0.0388752457552094,1.4319079056957724,0.1521701794187026,0.3968001968792016,0.0556657717327504
FBgn0028857,10.307492360282035,-0.0016354531353193,0.3234919269952869,-0.126875863420132,0.8990386504348287,,-0.0410433175469693
