ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,Database,Pathway,Direction
0.6817469289842276,2.2195731160751375,0.0,0.00016819581895469326,0.006,16/30,8.31%,CYP4F2;CYP4V2;CYP4F3;ABCD3;HADHA;SLC27A2;CPT2;HADHB;CROT;ACAA2;ECHS1;ECI1;PEX2;HSD17B10;ADIPOR1;PEX13,GO_Biological_Process_2025,Fatty Acid Oxidation (GO:0019395),Upregulated
0.5579375567749468,2.2150605036940916,0.0,0.00016419115659862914,0.006,25/75,6.72%,ABCD3;ABCC3;ABCC2;ABCC4;ABCC11;ABCA6;ABCA8;ABCA13;ABCA12;ABCA3;ABCA9;ABCA4;ABCA2;SLC27A3;SLC27A4;ACSL1;SLC27A5;SLC27A1;ABCG8;SCARB1;SPART;TMEM41B;ABCA5;TTPA;PLPPR4,GO_Biological_Process_2025,Lipid Transport (GO:0006869),Upregulated
0.6300971860572883,2.2027872448476122,0.0,0.00023509188331167352,0.009,20/39,14.12%,FAR1;FAR2;ABCD3;GDAP1;SLC27A2;ACBD5;PEX2;PEX11A;PEX11B;PEX13;RAB8B;PEX5;PEX5L;PEX14;HSD17B4;PEX16;PEX19;PXMP2;HMGCR;DHRS7B,GO_Cellular_Component_2025,Peroxisomal Membrane (GO:0005778),Upregulated
0.6300971860572883,2.2027872448476122,0.0,0.00023509188331167352,0.009,20/39,14.12%,FAR1;FAR2;ABCD3;GDAP1;SLC27A2;ACBD5;PEX2;PEX11A;PEX11B;PEX13;RAB8B;PEX5;PEX5L;PEX14;HSD17B4;PEX16;PEX19;PXMP2;HMGCR;DHRS7B,GO_Cellular_Component_2025,Microbody Membrane (GO:0031903),Upregulated
0.49304820518202946,2.202188680379489,0.0,0.0002298676192380808,0.009,70/133,31.07%,LTV1;GTPBP4;RSL24D1;PES1;FBL;PNO1;DKC1;DDX47;ESF1;NOB1;NOP53;DDX27;DCAF13;NAT10;NOL8;EXOSC10;LAS1L;EBNA1BP2;RPS24;EIF1AX;RIOK2;RPS13;METTL17;FCF1;NOP2;EXOSC7;RPL35A;RPS4X;GTF3A;PIN4;RPS6;BYSL;PWP2;MRM2;BMS1;DDX54;SURF6;TMA16;NPM1;UTP15;RRS1;CUL4A;XRN2;DHX37;CINP;DDX10;RPS7;RPL26L1;RPL26;DIMT1;LYAR;TBL3;RPL7;IMP4;RPS25;RPS5;UTP20;NGDN;WDR36;MPHOSPH10;RRP9;NOP58;NOP16;RPS28;ZNF622;RPL14;RPS12;NOC4L;RRP7A;RPL11,GO_Biological_Process_2025,Ribosome Biogenesis (GO:0042254),Upregulated
0.6599342884814788,2.191276647188865,0.0,0.00032481294022772283,0.013,11/27,4.42%,MOGAT3;DGAT2;MOGAT1;MOGAT2;ABHD5;PLIN1;PLIN3;LPIN3;LPIN2;LPIN1;LIPE,Reactome_2022,Triglyceride Metabolism R-HSA-8979227,Upregulated
0.536627525597191,2.1830734489554446,0.0,0.00039126403274566946,0.016,53/81,31.07%,EIF3L;RSL24D1;EIF3E;EIF3H;RPL13A;EIF3A;EIF3B;EIF3C;RPL18A;RPL4;EIF3K;RPLP0;EIF3I;RPS24;EIF1AX;RPL6;RPS13;RPL35A;RPS4Y1;RPS4Y2;RPS4X;RPL8;EIF3G;RPS6;RPSA;RPLP1;RPL23;RPL18;RPS7;RPL26L1;RPL26;RPL7A;RPS3;RPL7;RPL19;RPL15;RPS25;RPS5;RPS29;EIF3F;RPL3L;RPL3;RPL35;RPL12;EIF3J;EIF3M;EIF3D;RPS28;RPL29;FAU;RPL14;RPS12;RPL11,Reactome_2022,Formation Of A Pool Of Free 40S Subunits R-HSA-72689,Upregulated
0.7131373531021602,2.181778648100565,0.0,0.00038311269873013464,0.016,11/22,9.44%,AGPAT3;AGPAT4;AWAT2;MOGAT3;DGAT2;DGAT2L6;MOGAT1;MOGAT2;TAFAZZIN;GPAT3;GPAT4,GO_Molecular_Function_2025,Acylglycerol O-acyltransferase Activity (GO:0016411),Upregulated
0.5473321253669109,2.1814507044972777,0.0,0.0003987499517395279,0.017,23/67,10.68%,PLIN1;RPS6KB1;RPS6KA6;RPS6KA2;RPS6KA1;RPS6KB2;RPS6KA3;CPT1C;ACSL6;ACSL1;ACSL4;ACSL3;CPT2;GNAS;PRKAB1;LIPE;TSC1;CREB3L2;CREB3L4;CREB3L3;CREB1;CREB3L1;CREB3,WikiPathways_2024_Human,Thermogenesis WP4321,Upregulated
0.5264498159916852,2.1813070675488047,0.0,0.0003907749527047373,0.017,57/88,31.07%,EIF3L;RSL24D1;EIF3E;EIF3H;RPL13A;EIF3A;EIF3B;EIF3C;EIF2S3;RPL18A;EIF2S1;RPL4;EIF4A1;EIF3K;RPLP0;EIF3I;RPS24;EIF1AX;RPL6;RPS13;EIF4E;RPL35A;RPS4Y1;RPS4Y2;RPS4X;RPL8;EIF3G;RPS6;RPSA;RPLP1;RPL23;RPL18;RPS7;RPL26L1;RPL26;RPL7A;RPS3;RPL7;RPL19;RPL15;RPS25;RPS5;RPS29;EIF3F;RPL3L;RPL3;RPL35;RPL12;EIF3J;EIF3M;EIF3D;RPS28;RPL29;FAU;RPL14;RPS12;RPL11,Reactome_2022,L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827,Upregulated
0.610544996451029,2.180222502422861,0.0,0.0003757451468314782,0.017,27/42,17.94%,RPS6KB1;HINFP;KHDRBS1;CDC7;GSPT1;EIF4E;ZNF324;BCAT1;CCNA2;CCNO;CCNJL;CCNI;CCNF;CCNI2;CCNP;CCNB1;CCNE2;CCNG2;CCNA1;CCND1;CCNG1;CCNJ;CCND3;CCNB2;CCND2;CCNE1;EIF4EBP1,GO_Biological_Process_2025,G1/S Transition of Mitotic Cell Cycle (GO:0000082),Upregulated
0.610544996451029,2.180222502422861,0.0,0.0003757451468314782,0.017,27/42,17.94%,RPS6KB1;HINFP;KHDRBS1;CDC7;GSPT1;EIF4E;ZNF324;BCAT1;CCNA2;CCNO;CCNJL;CCNI;CCNF;CCNI2;CCNP;CCNB1;CCNE2;CCNG2;CCNA1;CCND1;CCNG1;CCNJ;CCND3;CCNB2;CCND2;CCNE1;EIF4EBP1,GO_Biological_Process_2025,Cell Cycle G1/S Phase Transition (GO:0044843),Upregulated
0.5889255700195495,2.1800604259541676,0.0,0.00036865561575918617,0.017,20/49,9.78%,GNA13;GNAI1;GNAZ;GNAI2;GNA11;GNAT2;GNA14;GNAT1;GNAS;GNA12;GNAT3;GNAI3;GNAQ;GNAL;PTGFR;PTGER1;TBXA2R;PTGER3;RIMS2;FFAR4,GO_Biological_Process_2025,Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188),Upregulated
