Pathway,Database,NES,Direction,FDR q-val,Tag %,Gene %
+ Reg of Transmembrane Receptor Prot Serine/Threonine Kinase Sgnlng Pway (GO:0090100),GO_Biological_Process_2025,1.0272007385519752,Upregulated,0.5496404016373573,33/73,30.36%
Protein Autoubiquitination (GO:0051865),GO_Biological_Process_2025,1.0264416798051448,Upregulated,0.5509485594705432,15/50,23.87%
Transcriptional misregulation in cancer,KEGG_2021_Human,1.0263582982215202,Upregulated,0.5509054846652619,45/138,24.62%
Iron Ion Binding (GO:0005506),GO_Molecular_Function_2025,1.024500250399202,Upregulated,0.5544209165646353,13/47,18.98%
Negative Regulation of Neuron Apoptotic Process (GO:0043524),GO_Biological_Process_2025,1.0243626931599592,Upregulated,0.5544950393156685,22/74,23.74%
Intrinsic Apoptotic Signaling Pathway by P53 Class Mediator (GO:0072332),GO_Biological_Process_2025,1.0232786195235666,Upregulated,0.5564219212967378,12/31,22.90%
JNK (c-Jun Kinases) Phosphorylation And Activation Mediated By Activated Human TAK1 R-HSA-450321,Reactome_2022,1.023105832807781,Upregulated,0.5565612143727428,8/16,27.48%
Nuclear Steroid Receptor Activity (GO:0003707),GO_Molecular_Function_2025,1.0228959013856809,Upregulated,0.5567663808476122,8/16,34.78%
Positive Regulation of Autophagy (GO:0010508),GO_Biological_Process_2025,1.0227230764737691,Upregulated,0.5569054313990149,18/78,18.02%
Positive Regulation of NLRP3 Inflammasome Complex Assembly (GO:1900227),GO_Biological_Process_2025,1.0222307262991726,Upregulated,0.5576776947006287,7/20,24.51%
Negative Regulation of Supramolecular Fiber Organization (GO:1902904),GO_Biological_Process_2025,1.0220784607220728,Upregulated,0.5577740259593413,15/66,17.64%
Translocation Of SLC2A4 (GLUT4) To Plasma Membrane R-HSA-1445148,Reactome_2022,1.0219362004428998,Upregulated,0.5578454807040298,11/46,17.96%
Axon Guidance R-HSA-422475,Reactome_2022,1.021850623859885,Upregulated,0.5577995054371333,112/451,24.38%
Protein Phosphatase Activator Activity (GO:0072542),GO_Molecular_Function_2025,1.0209261238811025,Upregulated,0.5594352796904802,7/19,22.53%
RHO GTPases Activate CIT R-HSA-5625900,Reactome_2022,1.0206211961909313,Upregulated,0.5598559205867083,5/15,19.54%
SH3 Domain Binding (GO:0017124),GO_Molecular_Function_2025,1.0199894191122982,Upregulated,0.5609278138236521,20/43,29.83%
Pre-NOTCH Transcription And Translation R-HSA-1912408,Reactome_2022,1.0187119922408532,Upregulated,0.5632493129478621,8/35,19.70%
Phase 4 - Resting Membrane Potential R-HSA-5576886,Reactome_2022,1.0181209636567197,Upregulated,0.564244440052902,8/18,28.27%
Notch Signaling Pathway (GO:0007219),GO_Biological_Process_2025,1.0171116458919358,Upregulated,0.5659974424655235,10/35,21.41%
Endoplasmic Reticulum to Golgi Vesicle-Mediated Transport (GO:0006888),GO_Biological_Process_2025,1.0162812494480475,Upregulated,0.5674887039420062,35/98,33.24%
Regulation of Notch Signaling Pathway (GO:0008593),GO_Biological_Process_2025,1.0154441176785258,Upregulated,0.5689401924705991,13/59,18.72%
FRS-mediated FGFR1 Signaling R-HSA-5654693,Reactome_2022,1.0148167037654212,Upregulated,0.5699971979979835,10/19,28.47%
Downregulation Of ERBB2 Signaling R-HSA-8863795,Reactome_2022,1.0142328516358274,Upregulated,0.570929519288677,4/24,10.08%
Toll Like Receptor Signaling WP75,WikiPathways_2024_Human,1.0141835140001163,Upregulated,0.5708123314775869,18/73,16.54%
Cellular Response to Chemical Stress (GO:0062197),GO_Biological_Process_2025,1.0132911929534598,Upregulated,0.5723898418665283,34/84,34.93%
Cellular Response to Glucocorticoid Stimulus (GO:0071385),GO_Biological_Process_2025,1.013173310657608,Upregulated,0.5724039960627962,4/16,8.87%
Nucleotide Biosynthetic Process (GO:0009165),GO_Biological_Process_2025,1.0128658832949191,Upregulated,0.5728407894391958,4/15,15.53%
Negative Regulation of Cell Development (GO:0010721),GO_Biological_Process_2025,1.0122813556799486,Upregulated,0.5738133452091482,3/20,5.26%
