Pathway,Database,NES,Direction,FDR q-val,Tag %,Gene %
Low-Density Lipoprotein Particle Receptor Binding (GO:0050750),GO_Molecular_Function_2025,-0.996107165864714,Downregulated,0.7005375895630107,7/22,14.56%
Transcription Of E2F Targets Under Negative Control By P107 (RBL1) And P130 (RBL2) In Complex With HDAC1 R-HSA-1362300,Reactome_2022,-0.9985253882368844,Downregulated,0.6944961067815262,8/16,35.59%
Glycosaminoglycan Biosynthetic Process (GO:0006024),GO_Biological_Process_2025,-0.999011778288574,Downregulated,0.6937524785670653,3/23,2.01%
Acetylcholine-Gated Channel Complex (GO:0005892),GO_Cellular_Component_2025,-0.9992010272681328,Downregulated,0.6939156820927636,7/15,20.58%
GPCRs Class B Secretin Like WP334,WikiPathways_2024_Human,-0.9992315535971072,Downregulated,0.6945148654358808,4/17,11.44%
"Regulation of DNA Damage Response, Signal Transduction by P53 Class Mediator (GO:0043516)",GO_Biological_Process_2025,-1.0017928209715563,Downregulated,0.6881936490755052,6/25,7.16%
Positive Regulation of Cell Division (GO:0051781),GO_Biological_Process_2025,-1.0028724949949517,Downregulated,0.6858550823350897,5/34,5.70%
Neuropeptide Activity (GO:0160041),GO_Molecular_Function_2025,-1.003662658996337,Downregulated,0.6843972313518485,7/23,11.93%
Interstrand Cross-Link Repair (GO:0036297),GO_Biological_Process_2025,-1.0040388338328008,Downregulated,0.6840294618184594,36/36,74.47%
SUMOylation Of Intracellular Receptors R-HSA-4090294,Reactome_2022,-1.0050309271213886,Downregulated,0.682076081005193,4/22,10.55%
S-adenosylmethionine-dependent Methyltransferase Activity (GO:0008757),GO_Molecular_Function_2025,-1.0051359978679888,Downregulated,0.6824572239679843,24/51,39.94%
RNA Stabilization (GO:0043489),GO_Biological_Process_2025,-1.006597478495323,Downregulated,0.6791217918134212,18/37,32.98%
Synthesis Of Glycosylphosphatidylinositol (GPI) R-HSA-162710,Reactome_2022,-1.0066612931476304,Downregulated,0.679606523968553,16/16,67.45%
Hormone Biosynthetic Process (GO:0042446),GO_Biological_Process_2025,-1.0072614617636888,Downregulated,0.6786384213411494,6/20,16.81%
Homologous Chromosome Segregation (GO:0045143),GO_Biological_Process_2025,-1.0082007168920004,Downregulated,0.6767037218004915,15/15,66.83%
Signaling By WNT R-HSA-195721,Reactome_2022,-1.008607797615101,Downregulated,0.6762123111355106,54/238,18.35%
Regulation of Rac Protein Signal Transduction (GO:0035020),GO_Biological_Process_2025,-1.0088943720859906,Downregulated,0.6760956827328487,5/15,9.20%
Regulation of Cellular Response to Growth Factor Stimulus (GO:0090287),GO_Biological_Process_2025,-1.011977219772482,Downregulated,0.6683332896780334,6/22,12.11%
Phosphatidylinositol Phosphate Biosynthetic Process (GO:0046854),GO_Biological_Process_2025,-1.0125267745652615,Downregulated,0.6675180792304728,13/35,20.52%
Regulation of Intracellular Estrogen Receptor Signaling Pathway (GO:0033146),GO_Biological_Process_2025,-1.015420029565522,Downregulated,0.660202020600059,4/24,15.82%
Regulation of Oligodendrocyte Differentiation (GO:0048713),GO_Biological_Process_2025,-1.0155813071234463,Downregulated,0.6604100347614913,8/16,20.44%
Voltage-Gated Calcium Channel Activity (GO:0005245),GO_Molecular_Function_2025,-1.0159997148684683,Downregulated,0.6598219938111377,10/32,14.87%
Regulation of Chromosome Organization (GO:0033044),GO_Biological_Process_2025,-1.0176534286454595,Downregulated,0.6559967148665751,13/36,33.72%
Establishment of Protein Localization to Mitochondrion (GO:0072655),GO_Biological_Process_2025,-1.01774409837771,Downregulated,0.656385084140764,17/40,34.66%
Positive Regulation of DNA Recombination (GO:0045911),GO_Biological_Process_2025,-1.0178512507856787,Downregulated,0.6567404897710492,28/49,43.11%
Stimulatory C-type Lectin Receptor Signaling Pathway (GO:0002223),GO_Biological_Process_2025,-1.0184770829972989,Downregulated,0.6556054428919702,9/20,16.78%
Cellular Response to Lectin (GO:1990858),GO_Biological_Process_2025,-1.0184770829972989,Downregulated,0.6556054428919702,9/20,16.78%
"RNA Polymerase II, Core Complex (GO:0005665)",GO_Cellular_Component_2025,-1.0192654318754482,Downregulated,0.6547386568254052,12/16,43.19%
Response to Estrogen (GO:0043627),GO_Biological_Process_2025,-1.021250433709675,Downregulated,0.6501689636521423,7/24,17.37%
Protein Methylation (GO:0006479),GO_Biological_Process_2025,-1.0217420999152913,Downregulated,0.649461619345544,13/27,36.56%
Netrin-1 Signaling R-HSA-373752,Reactome_2022,-1.0218052787778482,Downregulated,0.6499198898858373,12/48,13.74%
Aggrephagy R-HSA-9646399,Reactome_2022,-1.0220427366642284,Downregulated,0.6498958885486336,9/21,27.44%
Acetylcholine Receptor Activity (GO:0015464),GO_Molecular_Function_2025,-1.023895686243527,Downregulated,0.645523808809194,7/19,15.81%
Retinoid Metabolism And Transport R-HSA-975634,Reactome_2022,-1.0241890415251846,Downregulated,0.6453651431581415,11/37,14.90%
Inner Ear Morphogenesis (GO:0042472),GO_Biological_Process_2025,-1.0244353549253808,Downregulated,0.6453170985569354,8/23,16.23%
Carboxy-Lyase Activity (GO:0016831),GO_Molecular_Function_2025,-1.0248750783802587,Downregulated,0.6448023741305764,3/23,1.66%
Regulation of Mitotic Cell Cycle Phase Transition (GO:1901990),GO_Biological_Process_2025,-1.026152072248072,Downregulated,0.6420703467769063,25/79,22.95%
Negative Regulation of Cation Channel Activity (GO:2001258),GO_Biological_Process_2025,-1.0270303868831558,Downregulated,0.6404611669093201,4/16,8.70%
Regulation of Membrane Depolarization (GO:0003254),GO_Biological_Process_2025,-1.027107978539335,Downregulated,0.6408848254148535,7/19,23.21%
Histone H3 Methyltransferase Activity (GO:0140938),GO_Molecular_Function_2025,-1.0277052990201143,Downregulated,0.6399548558738473,11/28,24.87%
