Pathway,Database,NES,Direction,FDR q-val,Tag %,Gene %
Tail-Anchored Membrane Protein Insertion Into ER Membrane (GO:0071816),GO_Biological_Process_2025,1.7576501384954522,Upregulated,0.1153736080004382,5/15,8.94%
Striated Muscle Cell Development (GO:0055002),GO_Biological_Process_2025,1.753185010966593,Upregulated,0.1185968920766834,11/25,12.07%
Positive Regulation of Epithelial to Mesenchymal Transition (GO:0010718),GO_Biological_Process_2025,1.752638362048202,Upregulated,0.1175055822778548,16/46,12.57%
Cardiac Muscle Cell Action Potential Involved in Contraction (GO:0086002),GO_Biological_Process_2025,1.7499739751079717,Upregulated,0.1188070681575145,12/32,16.08%
Cardiomyocyte Signaling Converging On Titin WP5344,WikiPathways_2024_Human,1.7490703270332015,Upregulated,0.1183059821926131,11/30,17.99%
Smooth Muscle Contraction R-HSA-445355,Reactome_2022,1.744977087571453,Upregulated,0.121348089971488,25/41,29.17%
Nonalcoholic Fatty Liver Disease WP4396,WikiPathways_2024_Human,1.7437860355951007,Upregulated,0.121148947940365,41/145,16.58%
Mammary Gland Development (GO:0030879),GO_Biological_Process_2025,1.7418844482681437,Upregulated,0.1216551283155694,11/17,27.41%
ERAD Pathway (GO:0036503),GO_Biological_Process_2025,1.7331408734324285,Upregulated,0.1300421967623444,37/88,22.29%
Positive Regulation of Cell Junction Assembly (GO:1901890),GO_Biological_Process_2025,1.731587956083524,Upregulated,0.1302456817312367,26/55,25.04%
GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475,Reactome_2022,1.7314458510055233,Upregulated,0.1287704785716002,8/23,6.81%
Muscle Organ Development (GO:0007517),GO_Biological_Process_2025,1.7299731123945674,Upregulated,0.1289142343459783,21/50,16.65%
Aorta Morphogenesis (GO:0035909),GO_Biological_Process_2025,1.7292232911353216,Upregulated,0.1282681908220231,12/17,27.60%
"Defective B4GALT7 Causes EDS, Progeroid Type R-HSA-3560783",Reactome_2022,1.7257539258354475,Upregulated,0.1307347187454129,8/19,11.82%
Diseases Of Glycosylation R-HSA-3781865,Reactome_2022,1.711229202881415,Upregulated,0.1474097814914906,37/124,14.93%
IRE1alpha Activates Chaperones R-HSA-381070,Reactome_2022,1.710231332995298,Upregulated,0.1469984945247103,17/47,14.15%
Defective B3GALT6 Causes EDSP2 And SEMDJL1 R-HSA-4420332,Reactome_2022,1.7048984512481271,Upregulated,0.1519459593036205,8/19,11.82%
Response to Ketone (GO:1901654),GO_Biological_Process_2025,1.69941092515567,Upregulated,0.1574907826588873,8/20,13.75%
Regulation of Release of Sequestered Calcium Ion Into Cytosol by Sarcoplasmic Reticulum (GO:0010880),GO_Biological_Process_2025,1.6985913773726242,Upregulated,0.1568295460650218,11/22,17.08%
